"NAME","STREET","POST_CODE","CITY","LONGITUDE","LATITUDE","HUMIDITY_AVG","PRESSURE_AVG","TEMPERATURE_AVG","PM10_AVG","PM25_AVG","TIMESTAMP"
"PUBLICZNA SZKO?A PODSTAWOWA IM KARDYNA?A STEFANA WYSZY?SKIEGO W G?OSKOWIE","","08-412","G?OSK?W","21.693825","51.932915","88.16666666666667","1005.625","-0.7166666666666667","16.208333333333332","13.066666666666668","2023-04-05 00:00:00.0"
"SZKO?A PODSTAWOWA NR 5 IM I. J. PADEREWSKIEGO W PRUSZKOWIE","UL. JANA D?UGOSZA","05-804","PRUSZK?W","20.815629142327243","52.18859558069476","72.34166666666667","1011.6","-1.0916666666666666","36.68333333333333","26.675","2023-04-05 00:00:00.0"
"SZKO?A PODSTAWOWA IM. HENRYKA SIENKIEWICZA W STARYM K?B?OWIE","","08-430","STARY K?B??W","21.862929","51.791451","89.04166666666667","1002.2083333333334","-0.975","35.55833333333333","27.016666666666666","2023-04-05 00:00:00.0"
"SZKO?A PODSTAWOWA W ZESPOLE SZK?? OG?LNOKSZTA?C?CYCH W MAZOWIECKIM CENTRUM NEUROPSYCHIATRII W J?ZEFOWIE ","UL. 3 MAJA","05-420","J?ZEF?W","21.234656","52.128054","79.05","1012.75","0.2916666666666667","23.791666666666668","21.349999999999998","2023-04-05 00:00:00.0"
"II LICEUM OG?LNOKSZTA?C?CE IM. GEN. GUSTAWA ORLICZ-DRESZERA W CHE?MIE","UL. SZPITALNA","22-100","CHE?M","23.45593021","51.14267385","63.56923076923077","999.5692307692308","2.146153846153846","45.138461538461534","29.746153846153845","2023-04-05 00:00:00.0"
"SZKO?A PODSTAWOWA IM.J.CHE?MO?SKIEGO W KUKL?WCE RADZIEJOWICKIEJ","UL. SZKOLNA","96-325","KUKL?WKA RADZIEJOWICKA","20.59054414","52.04408065","85.4","1008.95","-1.81","46.58","32.989999999999995","2023-04-05 00:00:00.0"
"SALEZJA?SKA SZKO?A PODSTAWOWA Z ODDZIA?AMI INTEGRACYJNYMI W SALEZJA?SKIM O?RODKU SZKOLNO-WYCHOWAWCZYM W TARNOWSKICH G?RACH","UL. JANA ?NIADECKIEGO","42-604","TARNOWSKIE G?RY","18.80622755","50.43256357","70.75833333333334","986.8916666666668","-2.1666666666666665","34.525","24.016666666666666","2023-04-05 00:00:00.0"
"SZKO?A PODSTAWOWA NR 1 IM PIERWSZEGO MARSZA?KA POLSKI J?ZEFA PI?SUDSKIEGO W SULEJ?WKU","UL. IDZIKOWSKIEGO","05-070","SULEJ?WEK","21.26694575396344","52.24433487687851","76.70833333333333","1010.3833333333333","0.3333333333333333","19.224999999999998","15.008333333333333","2023-04-05 00:00:00.0"
"NIEPUBLICZNA INTEGRACYJNA SZKO?A PODSTAWOWA W MYSIADLE","UL. KR?TKA","05-515","MYSIAD?O","21.005366","52.099954","71.0","1010.3916666666665","-0.85","58.35833333333333","42.11666666666667","2023-04-05 00:00:00.0"
"PUBLICZNA SZKO?A PODSTAWOWA IM. JANUSZA KORCZAKA W GO?DZIE","UL. STAROWIEJSKA","26-634","G?ZD","21.378914500000004","51.376315985021016","72.46923076923078","1003.5769230769231","-1.8461538461538463","54.95384615384615","36.62307692307692","2023-04-05 00:00:00.0"
